"연월일","총가입회원","회원가입","회원탈퇴","앱설치","접속자"
"20171105","0","0","0","0","0"
"20171104","0","0","0","0","0"
"20171103","0","0","0","0","4"
"20171102","0","0","0","0","3"
"20171101","0","0","0","0","12"
"20171031","0","0","0","0","5"
"20171030","0","0","0","0","11"
"20171001","0","0","0","0","0"
"20170901","0","0","0","0","0"
"20170801","0","0","0","0","0"
"20170701","0","0","0","0","0"
